"Timestamp","Overall Event Rating","How was the event overall?","Which part of the event did you like the most?","Any suggestions or comments about the event?"
"2025/12/31 1:20:02 PM GMT+5:30","5","Good","Co ordination ","It's good"
"2025/12/31 1:25:25 PM GMT+5:30","1","Poor","No Event contained ","Poor management poor events "
"2025/12/31 1:49:14 PM GMT+5:30","3","Average","Milan","No"
"2025/12/31 1:55:30 PM GMT+5:30","2","Average","Nothing ","Improve "
"2025/12/31 2:07:24 PM GMT+5:30","5","Good","Event Management","excellent"
"2025/12/31 2:15:08 PM GMT+5:30","5","Excellent","I like the full event ","No"
"2025/12/31 2:16:06 PM GMT+5:30","3","Average","accountability","GOOD EVENT"
"2025/12/31 2:16:49 PM GMT+5:30","4","Poor","NOTHING","very worst"
"2025/12/31 2:17:55 PM GMT+5:30","2","Poor","NOTHING","poor"
"2025/12/31 2:35:11 PM GMT+5:30","4","Good","I like the full event ","Nothing "
